mode,logistics_partner,vehicle_type,fuel_type,distance_in_km_per_route,vehicle_capacity_in_kg,load_capacity_in_kg,average_speed_in_km_per_hr,traffic_condition,no_of_stop,vehicle_age_in_years,engine_norm_type,adjusted_fuel_efficiency_in_km_litre,adjusted_energy_kwh_per_km,total_energy_kwh,fuel_consumption_in_litre,load_factor,c02_emission_kg,load_utilization,fuel_per_km,co2_per_km,co2_per_litre,speed_per_stop,high_emitter,efficiency_score,low_efficiency,co2_tier
Road,Delhivery,bike,petrol,87,99.6,71.5,39.5,Low,10,0,BS-VI,44.59,0.0399,5.1199,1.96,0.72,4.12,0.7178714859437751,0.022528735632183907,0.04735632183908046,2.1020408163265305,3.95,False,65.50425995640975,False,Low
Road,Delhivery,bike,petrol,89,123.1,105.8,34.2,Low,14,0,BS-III,36.92,0.0399,5.1199,2.43,0.86,5.83,0.859463850528026,0.027303370786516856,0.06550561797752809,2.39917695473251,2.442857142857143,False,51.89138061255461,False,Low
Road,Delhivery,bike,petrol,79,96.4,78.7,31.8,Heavy,13,2,BS-IV,35.79,0.0399,5.1199,2.22,0.82,5.11,0.8163900414937759,0.028101265822784813,0.06468354430379747,2.3018018018018016,2.4461538461538463,False,51.04546816875584,False,Low
Road,Delhivery,bike,petrol,54,114.8,101.0,34.5,Low,20,1,BS-III,33.27,0.0399,5.1199,1.64,0.88,3.94,0.8797909407665505,0.030370370370370367,0.07296296296296297,2.402439024390244,1.725,False,46.63241302463786,False,Medium
Road,Delhivery,bike,petrol,43,88.4,35.7,25.6,Moderate,5,4,BS-III,30.42,0.0399,5.1199,1.42,0.4,3.41,0.40384615384615385,0.03302325581395349,0.07930232558139536,2.4014084507042255,5.12,False,42.891660815331875,False,Medium
Road,Delhivery,bike,petrol,50,80.0,40.0,35.0,Moderate,7,3,BS-III,40.15,0.0399,5.1199,1.25,0.5,2.99,0.5,0.025,0.059800000000000006,2.3920000000000003,5.0,False,56.72240802675585,False,Low
Road,Delhivery,bike,petrol,121,130.0,113.0,35.0,Low,25,6,BS-IV,44.58,0.0399,5.1199,2.71,0.87,6.24,0.8692307692307693,0.022396694214876032,0.051570247933884296,2.302583025830258,1.4,False,64.04047213549059,False,Low
Road,Delhivery,bike,petrol,93,130.0,89.0,29.0,Moderate,16,5,BS-IV,43.08,0.0399,5.1199,2.16,0.69,4.96,0.6846153846153846,0.023225806451612905,0.05333333333333333,2.2962962962962963,1.8125,False,61.80555555555555,False,Low
Road,Delhivery,bike,petrol,129,150.0,61.0,36.0,Moderate,16,8,BS-III,38.12,0.0399,5.1199,3.38,0.41,8.12,0.4066666666666667,0.0262015503875969,0.06294573643410852,2.4023668639053253,2.25,False,54.05237998076195,False,Low
Road,Delhivery,bike,petrol,128,130.0,70.0,40.0,Heavy,19,2,BS-VI,46.75,0.0399,5.1199,2.74,0.54,5.75,0.5384615384615384,0.02140625,0.044921875,2.0985401459854014,2.1052631578947367,False,68.97619803237068,False,Low
Road,Delhivery,bike,petrol,133,150.0,87.0,29.0,Heavy,11,4,BS-III,37.25,0.0399,5.1199,3.57,0.58,8.57,0.58,0.026842105263157893,0.06443609022556392,2.400560224089636,2.6363636363636362,False,52.77415516965246,False,Low
Road,Delhivery,bike,petrol,87,130.0,113.0,36.0,Moderate,22,9,BS-III,36.52,0.0399,5.1199,2.38,0.87,5.72,0.8692307692307693,0.027356321839080457,0.0657471264367816,2.403361344537815,1.6363636363636365,False,51.764412058529714,False,Low
Road,Delhivery,bike,petrol,122,120.0,52.0,36.0,Heavy,11,7,BS-VI,44.31,0.0399,5.1199,2.75,0.44,5.78,0.43333333333333335,0.022540983606557378,0.04737704918032787,2.101818181818182,3.272727272727273,False,65.47090279962252,False,Low
Road,Delhivery,bike,petrol,105,130.0,53.0,28.0,Moderate,10,5,BS-IV,43.86,0.0399,5.1199,2.39,0.41,5.51,0.4076923076923077,0.022761904761904764,0.052476190476190475,2.305439330543933,2.8,False,62.98931573631813,False,Low
Road,Delhivery,bike,petrol,123,150.0,48.0,26.0,Moderate,16,1,BS-IV,46.11,0.0399,5.1199,2.67,0.32,6.14,0.32,0.02170731707317073,0.04991869918699187,2.299625468164794,1.625,False,66.09998902023936,False,Low
Road,Delhivery,bike,petrol,83,120.0,88.0,39.0,Moderate,12,4,BS-III,39.1,0.0399,5.1199,2.12,0.74,5.09,0.7333333333333333,0.025542168674698797,0.06132530120481928,2.400943396226415,3.25,False,55.4574266968158,False,Low
Road,Delhivery,bike,petrol,122,120.0,78.0,33.0,Low,13,0,BS-III,43.3,0.0399,5.1199,2.81,0.65,6.75,0.65,0.0230327868852459,0.055327868852459015,2.402135231316726,2.5384615384615383,False,61.490444180835645,False,Low
Road,Delhivery,bike,petrol,78,130.0,98.0,36.0,Heavy,15,2,BS-III,37.7,0.0399,5.1199,2.07,0.76,4.97,0.7538461538461538,0.026538461538461535,0.06371794871794871,2.4009661835748792,2.4,False,53.375324410229496,False,Low
Road,Delhivery,bike,petrol,104,150.0,115.0,35.0,Low,14,6,BS-IV,44.86,0.0399,5.1199,2.32,0.77,5.33,0.7666666666666667,0.022307692307692306,0.051250000000000004,2.2974137931034484,2.5,False,64.33978132884778,False,Low
Road,Delhivery,bike,petrol,120,100.0,23.0,32.0,Moderate,5,1,BS-VI,46.44,0.0399,5.1199,2.09,2.34,4.39,0.23,0.017416666666666667,0.03658333333333333,2.1004784688995217,6.4,False,84.75111987880241,False,Low
Road,Delhivery,bike,petrol,106,120.0,88.0,32.0,Moderate,7,0,BS-VI,49.99,0.0399,5.1199,2.12,0.74,4.45,0.7333333333333333,0.02,0.0419811320754717,2.099056603773585,4.571428571428571,False,73.82022471910112,False,Low
Road,Delhivery,bike,petrol,189,23.0,73.0,34.0,Low,18,1,BS-VI,49.47,0.0399,5.1199,2.34,9.0,4.92,1.0,0.01238095238095238,0.02603174603174603,2.1025641025641026,1.8888888888888888,False,119.18386491557223,False,Low
Road,Delhivery,bike,petrol,84,100.0,37.0,36.0,Low,23,6,BS-III,41.38,0.0399,5.1199,2.03,0.37,4.87,0.37,0.024166666666666663,0.05797619047619048,2.399014778325123,1.565217391304348,False,58.62777030375983,False,Low
Road,Delhivery,bike,petrol,73,150.0,126.0,31.0,Heavy,17,10,BS-III,33.9,0.0399,5.1199,2.15,0.84,5.17,0.84,0.02945205479452055,0.07082191780821917,2.4046511627906977,1.8235294117647058,False,48.07341100265395,False,Low
Road,Delhivery,bike,petrol,82,150.0,52.0,35.0,Heavy,6,9,BS-III,35.58,0.0399,5.1199,2.3,0.35,5.53,0.3466666666666667,0.028048780487804875,0.0674390243902439,2.4043478260869566,5.833333333333333,False,50.48038367796211,False,Low
Road,Delhivery,bike,petrol,126,120.0,43.0,36.0,Moderate,15,9,BS-VI,46.2,0.0399,5.1199,2.73,0.36,5.73,0.35833333333333334,0.021666666666666667,0.04547619047619048,2.098901098901099,2.4,False,68.14337494965767,False,Low
Road,Delhivery,bike,petrol,131,150.0,55.0,33.0,Heavy,24,8,BS-VI,43.97,0.0399,5.1199,2.98,0.37,6.26,0.36666666666666664,0.022748091603053435,0.04778625954198473,2.100671140939597,1.375,False,64.88624911550914,False,Low
Road,Delhivery,bike,petrol,10,130.0,79.0,33.0,Moderate,9,0,BS-VI,50.39,0.0399,5.1199,2.76,0.61,5.79,0.6076923076923076,0.27599999999999997,0.579,2.097826086956522,3.6666666666666665,False,5.350304122550124,True,High
Road,Delhivery,bike,petrol,113,120.0,54.0,35.0,Moderate,13,3,BS-III,40.28,0.0399,5.1199,2.81,0.45,6.73,0.45,0.024867256637168142,0.05955752212389381,2.395017793594306,2.6923076923076925,False,57.00401347342594,False,Low
Road,Delhivery,bike,electric,107,100.0,88.0,38.0,Heavy,6,2,Electric,7.6615,0.0409,4.38,17.783,0.88,3.59,0.88,0.166196261682243,0.03355140186915888,0.20187819827925543,6.333333333333333,False,35.82199643896388,False,Low
Road,Delhivery,bike,electric,105,80.0,25.0,25.0,Moderate,6,3,Electric,7.6615,0.0384,4.03,17.783,0.3125,3.31,0.3125,0.16936190476190477,0.03152380952380952,0.18613282348310184,4.166666666666667,False,37.62656992922226,False,Low
Road,Delhivery,bike,electric,50,100.0,44.0,26.0,Low,16,1,Electric,7.6615,0.0362,1.81,17.783,0.44,1.48,0.44,0.35566000000000003,0.0296,0.0832255524939549,1.625,False,36.5954578545255,True,Low
Road,Delhivery,bike,electric,81,100.0,66.0,31.0,Heavy,12,2,Electric,7.6615,0.0405,3.28,17.783,0.66,2.69,0.66,0.21954320987654322,0.03320987654320988,0.1512680650059045,2.5833333333333335,False,34.666436158170356,False,Low
Road,Delhivery,bike,electric,87,80.0,41.0,28.0,Moderate,10,5,Electric,7.6615,0.0395,3.44,17.783,0.5125,2.82,0.5125,0.20440229885057473,0.032413793103448274,0.15857841758983296,2.8,False,35.743376712877826,False,Low
Road,Delhivery,bike,electric,65,120.0,96.0,36.0,Heavy,10,4,Electric,7.6615,0.0415,2.69,17.783,0.8,2.21,0.8,0.2735846153846154,0.034,0.124275993926784,3.6,False,33.06694099784659,True,Low
Road,Delhivery,bike,electric,69,120.0,60.0,28.0,Heavy,14,2,Electric,7.6615,0.0402,2.77,17.783,0.5,2.27,0.5,0.25772463768115944,0.03289855072463768,0.12765000281167407,2.0,False,34.27658598854868,True,Low
Road,Delhivery,bike,electric,68,120.0,61.0,31.0,Low,5,1,Electric,7.6615,0.0363,2.47,17.783,0.5083333333333333,2.03,0.5083333333333333,0.261514705882353,0.029852941176470586,0.1141539672721138,6.2,False,37.32141368202155,True,Low
Road,Delhivery,bike,electric,60,80.0,40.0,33.0,Moderate,11,5,Electric,7.6615,0.0395,2.37,17.783,0.5,1.94,0.5,0.29638333333333333,0.03233333333333333,0.1090929539447787,3.0,False,34.301843936436455,True,Low
Road,Delhivery,bike,electric,56,100.0,70.0,34.0,Low,8,3,Electric,7.6615,0.0374,2.1,17.783,0.7,1.72,0.7,0.31755357142857144,0.030714285714285715,0.09672158803351515,4.25,False,35.707214494114446,True,Low
Road,Delhivery,bike,electric,51,80.0,72.0,38.0,Low,9,2,Electric,7.6615,0.0375,1.91,17.783,0.9,1.57,0.9,0.34868627450980394,0.030784313725490196,0.08828656582128999,4.222222222222222,False,35.35198398527757,True,Low
Road,Delhivery,bike,electric,58,120.0,56.0,27.0,Heavy,8,5,Electric,7.6615,0.0412,2.39,17.783,0.4666666666666667,1.96,0.4666666666666667,0.3066034482758621,0.03379310344827586,0.1102176235730754,3.375,False,32.85337865675427,True,Low
Road,Delhivery,bike,electric,73,80.0,64.0,25.0,Moderate,12,3,Electric,7.6615,0.0394,2.87,17.783,0.8,2.36,0.8,0.24360273972602742,0.032328767123287666,0.13271101613900915,2.0833333333333335,False,35.03724753311342,False,Low
Road,Delhivery,bike,electric,74,100.0,30.0,38.0,Moderate,6,5,Electric,7.6615,0.0391,2.9,17.783,0.3,2.37,0.3,0.24031081081081082,0.032027027027027026,0.1332733509531575,6.333333333333333,False,35.38490631668087,False,Low
Road,Delhivery,bike,electric,110,120.0,51.0,25.0,Low,18,4,Electric,7.6615,0.0372,4.1,17.783,0.425,3.36,0.425,0.16166363636363637,0.030545454545454546,0.18894449755384354,1.3888888888888888,False,38.923778193727024,False,Low
Road,Delhivery,bike,electric,116,120.0,82.0,25.0,Heavy,7,5,Electric,7.6615,0.0416,4.82,17.783,0.6833333333333333,3.96,0.6833333333333333,0.15330172413793106,0.03413793103448276,0.2226845864027442,3.5714285714285716,False,35.81601313705008,False,Low
Road,Delhivery,bike,electric,71,120.0,54.0,30.0,Moderate,17,2,Electric,7.6615,0.0383,2.72,17.783,0.45,2.23,0.45,0.25046478873239436,0.03140845070422535,0.12540066355508067,1.7647058823529411,False,35.831142202874766,True,Low
Road,Delhivery,bike,electric,34,56.0,89.0,26.0,Low,18,0,Electric,7.6615,9.0,2.07,17.783,1.5892857142857142,1.7,1.0,0.523029411764706,0.049999999999999996,0.09559691840521846,1.4444444444444444,False,21.91193836810437,True,Low
Road,Delhivery,bike,electric,113,120.0,98.0,36.0,Low,7,3,Electric,7.6615,0.0376,4.25,17.783,0.8166666666666667,3.49,0.8166666666666667,0.15737168141592922,0.03088495575221239,0.19625485013777202,5.142857142857143,False,38.732606895578286,False,Low
Road,Delhivery,bike,electric,113,120.0,82.0,25.0,Moderate,17,5,Electric,7.6615,0.0398,4.5,17.783,0.6833333333333333,3.69,0.6833333333333333,0.15737168141592922,0.03265486725663717,0.2075015464207389,1.4705882352941178,False,36.97768963293862,False,Low
Road,Delhivery,bike,electric,55,80.0,41.0,34.0,Low,4,18,Electric,7.6615,0.0374,2.06,17.783,0.5125,1.69,0.5125,0.32332727272727274,0.030727272727272725,0.09503458359107012,8.5,False,35.63722017604074,True,Low
Road,Delhivery,bike,electric,95,80.0,70.0,27.0,Low,4,14,Electric,7.6615,0.0381,3.62,17.783,0.875,2.97,0.875,0.18718947368421054,0.03126315789473685,0.16701343980205816,6.75,False,37.32871272094125,False,Low
Road,Delhivery,bike,electric,81,80.0,64.0,27.0,Moderate,1,10,Electric,7.6615,0.0387,3.13,17.783,0.8,2.57,0.8,0.21954320987654322,0.03172839506172839,0.14452004723612438,27.0,False,36.07242172222804,False,Low
Road,Delhivery,bike,electric,103,120.0,86.0,32.0,Moderate,1,15,Electric,7.6615,0.0385,3.97,17.783,0.7166666666666667,3.25,0.7166666666666667,0.1726504854368932,0.03155339805825243,0.18275881459821175,32.0,False,37.484356278035634,False,Low
Road,Delhivery,bike,electric,72,120.0,45.0,35.0,Moderate,1,19,Electric,7.6615,0.0378,2.72,17.783,0.375,2.23,0.375,0.24698611111111113,0.03097222222222222,0.12540066355508067,35.0,False,36.33580617756314,True,Low
Road,Delhivery,bike,electric,82,80.0,30.0,30.0,Heavy,1,12,Electric,7.6615,0.0396,3.25,17.783,0.375,2.66,0.375,0.2168658536585366,0.032439024390243903,0.1495810605634595,30.0,False,35.43821314518935,False,Low
Road,Delhivery,bike,electric,75,120.0,94.0,33.0,Low,1,9,Electric,7.6615,0.0369,2.77,17.783,0.7833333333333333,2.27,0.7833333333333333,0.2371066666666667,0.030266666666666667,0.12765000281167407,33.0,False,37.25715868320509,False,Low
Road,Delhivery,bike,electric,23,45.0,56.0,28.0,Low,5,80,Electric,7.6615,3.4,4.04,17.783,1.2444444444444445,3.31,1.0,0.7731739130434783,0.14391304347826087,0.18613282348310184,5.6,False,8.242010555924876,True,Medium
Road,Delhivery,bike,electric,64,100.0,53.0,26.0,Heavy,5,11,Electric,7.6615,0.0413,2.64,17.783,0.53,2.17,0.53,0.277859375,0.03390625,0.12202665467019062,5.2,False,33.09203036815309,True,Low
Road,Delhivery,bike,electric,74,120.0,46.0,38.0,Low,1,13,Electric,7.6615,0.0361,2.67,17.783,0.3833333333333333,2.19,0.38333333333333336,0.24031081081081082,0.029594594594594594,0.12315132429848731,38.0,False,37.95123196259729,False,Low
Road,Ecom Express,bike,petrol,52,85.0,17.0,42.0,Moderate,12,2,BS-IV,47.8,0.0399,5.1199,1.09,0.2,2.5,0.2,0.020961538461538462,0.04807692307692308,2.293577981651376,3.5,False,68.50642201834862,False,Low
Road,Ecom Express,bike,petrol,95,110.0,88.0,35.0,Heavy,18,4,BS-III,35.2,0.0399,5.1199,2.7,0.8,6.48,0.8,0.028421052631578948,0.06821052631578947,2.4,1.9444444444444444,False,49.84567901234568,False,Low
Road,Ecom Express,bike,petrol,68,100.0,50.0,40.0,Low,8,1,BS-VI,48.6,0.0399,5.1199,1.4,0.5,2.94,0.5,0.020588235294117647,0.04323529411764706,2.1,5.0,False,71.70068027210884,False,Low
Road,Ecom Express,bike,petrol,47,120.0,84.0,30.0,Moderate,15,3,BS-IV,37.0,0.0399,5.1199,1.27,0.7,2.92,0.7,0.02702127659574468,0.062127659574468086,2.2992125984251968,2.0,False,53.10376442670693,False,Low
Road,Ecom Express,bike,petrol,120,130.0,26.0,45.0,Heavy,20,5,BS-III,31.5,0.0399,5.1199,3.81,0.2,9.14,0.2,0.03175,0.07616666666666667,2.398950131233596,2.25,False,44.625165836764936,False,Medium
Road,Ecom Express,bike,petrol,40,95.0,47.5,38.0,Low,6,0,BS-VI,49.2,0.0399,5.1199,0.81,0.5,1.7,0.5,0.02025,0.042499999999999996,2.0987654320987654,6.333333333333333,False,72.91212781408859,False,Low
Road,Ecom Express,bike,petrol,78,90.0,72.0,36.0,Heavy,14,4,BS-IV,36.3,0.0399,5.1199,2.15,0.8,4.95,0.8,0.027564102564102563,0.06346153846153846,2.302325581395349,2.5714285714285716,False,52.03664552501762,False,Low
Road,Ecom Express,bike,petrol,63,105.0,21.0,41.0,Moderate,10,3,BS-VI,45.0,0.0399,5.1199,1.4,0.2,2.94,0.2,0.02222222222222222,0.04666666666666667,2.1,4.1,False,66.42857142857143,False,Low
Road,Ecom Express,bike,petrol,88,115.0,57.5,33.0,Heavy,17,2,BS-IV,38.0,0.0399,5.1199,2.32,0.5,5.34,0.5,0.026363636363636363,0.06068181818181818,2.3017241379310347,1.9411764705882353,False,54.41043523182229,False,Low
Road,Ecom Express,bike,petrol,110,125.0,100.0,43.0,Low,9,1,BS-III,42.0,0.0399,5.1199,2.62,0.8,6.29,0.8,0.023818181818181818,0.05718181818181818,2.400763358778626,4.777777777777778,False,59.472809136033206,False,Low
Road,Ecom Express,bike,petrol,119,62.0,31.0,28.0,Heavy,21,10,BS-IV,38.61,0.0399,5.1199,3.08,0.5,7.08,0.5,0.02588235294117647,0.05949579831932773,2.2987012987012987,1.3333333333333333,False,55.444273240883405,False,Low
Road,Ecom Express,bike,petrol,71,114.0,102.6,34.0,Moderate,23,8,BS-VI,41.0,0.0399,5.1199,1.73,0.9,3.63,0.8999999999999999,0.02436619718309859,0.05112676056338028,2.098265895953757,1.4782608695652173,False,60.599691077883406,False,Low
Road,Ecom Express,bike,petrol,130,79.0,39.5,38.0,Low,16,5,BS-III,46.11,0.0399,5.1199,2.82,0.5,6.77,0.5,0.02169230769230769,0.052076923076923076,2.400709219858156,2.375,False,65.30165414794097,False,Low
Road,Ecom Express,bike,petrol,129,84.0,75.6,31.0,Moderate,20,4,BS-IV,43.0,0.0399,5.1199,3.0,0.9,6.9,0.8999999999999999,0.023255813953488372,0.05348837209302326,2.3000000000000003,1.55,False,61.69565217391305,False,Low
Road,Ecom Express,bike,petrol,45,145.0,23.0,56.0,Moderate,19,5,BS-III,90.0,0.0399,5.1199,3.08,0.2,7.39,0.15862068965517243,0.06844444444444445,0.16422222222222221,2.3993506493506493,2.9473684210526314,False,20.699699488603414,False,Medium
Road,Ecom Express,bike,petrol,75,85.0,42.5,27.0,Low,17,1,BS-III,48.11,0.0399,5.1199,1.56,0.5,3.74,0.5,0.0208,0.04986666666666667,2.3974358974358974,1.588235294117647,False,68.13039901275195,False,Low
Road,Ecom Express,bike,petrol,141,116.0,23.2,31.0,Heavy,10,8,BS-VI,40.44,0.0399,5.1199,3.49,0.2,7.33,0.19999999999999998,0.024751773049645393,0.05198581560283688,2.1002865329512894,3.1,False,59.637162502882916,False,Low
Road,Ecom Express,bike,petrol,94,77.0,38.5,36.0,Heavy,22,6,BS-VI,40.61,0.0399,5.1199,2.31,0.5,4.85,0.5,0.024574468085106382,0.05159574468085106,2.0995670995670994,1.6363636363636365,False,60.07408399160977,False,Low
Road,Ecom Express,bike,petrol,133,70.0,35.0,28.0,Low,13,4,BS-IV,46.61,0.0399,5.1199,2.85,0.5,6.55,0.5,0.02142857142857143,0.04924812030075188,2.2982456140350878,2.1538461538461537,False,66.97201017811705,False,Low
Road,Ecom Express,bike,petrol,97,95.0,47.5,30.0,Moderate,22,3,BS-IV,44.61,0.0399,5.1199,2.17,0.5,4.99,0.5,0.022371134020618556,0.05144329896907217,2.299539170506913,1.3636363636363635,False,64.13933858500411,False,Low
Road,Ecom Express,bike,petrol,79,115.0,23.0,38.0,Low,22,7,BS-IV,45.94,0.0399,5.1199,1.72,0.2,3.96,0.2,0.021772151898734177,0.05012658227848101,2.302325581395349,1.7272727272727273,False,65.87972750763448,False,Low
Road,Ecom Express,bike,petrol,122,83.0,74.7,38.0,Moderate,19,2,BS-III,44.0,0.0399,5.1199,2.77,0.9,6.65,0.9,0.022704918032786885,0.05450819672131148,2.4007220216606497,2.0,False,62.38918596129312,False,Low
Road,Ecom Express,bike,petrol,102,94.0,84.6,38.0,Moderate,15,5,BS-III,42.5,0.0399,5.1199,2.4,0.9,5.76,0.8999999999999999,0.023529411764705882,0.05647058823529411,2.4,2.533333333333333,False,60.208333333333336,False,Low
Road,Ecom Express,bike,petrol,121,99.0,19.8,34.0,Moderate,17,1,BS-IV,46.44,0.0399,5.1199,2.61,0.2,6.0,0.2,0.021570247933884297,0.049586776859504134,2.298850574712644,2.0,False,66.52681992337165,False,Low
Road,Ecom Express,bike,petrol,129,63.0,31.5,38.0,Moderate,25,4,BS-III,44.11,0.0399,5.1199,2.92,0.5,7.01,0.5,0.02263565891472868,0.05434108527131783,2.4006849315068495,1.52,False,62.580364645418484,False,Low
Road,Ecom Express,bike,petrol,83,107.0,96.3,45.0,Moderate,29,8,BS-VI,41.0,0.0399,5.1199,2.02,0.9,4.24,0.9,0.02433734939759036,0.051084337349397595,2.099009900990099,1.5517241379310345,False,60.6645806090043,False,Low
Road,Ecom Express,bike,petrol,105,68.0,34.0,35.0,Moderate,15,7,BS-IV,42.61,0.0399,5.1199,2.46,0.5,5.66,0.5,0.023428571428571427,0.05390476190476191,2.3008130081300813,2.3333333333333335,False,61.23416357838491,False,Low
Road,Ecom Express,bike,petrol,34,56.0,88.2,67.0,Heavy,28,9,BS-III,38.0,0.0399,5.1199,3.47,0.9,8.33,1.0,0.10205882352941177,0.245,2.4005763688760804,2.392857142857143,False,13.879903546432981,False,Medium
Road,Ecom Express,bike,petrol,76,101.0,90.9,36.0,Low,30,4,BS-III,45.5,0.0399,5.1199,1.67,0.9,4.01,0.9,0.021973684210526315,0.05276315789473684,2.4011976047904193,1.2,False,64.46160048979348,False,Low
Road,Ecom Express,bike,petrol,104,73.0,14.6,29.0,Heavy,26,2,BS-IV,43.44,0.0399,5.1199,2.39,0.2,5.5,0.19999999999999998,0.02298076923076923,0.052884615384615384,2.301255230125523,1.1153846153846154,False,62.42373526055535,False,Low
