mode,logistics_partner,vehicle_type,fuel_type,distance_in_km_per_route,vehicle_capacity_in_kg,load_capacity_in_kg,average_speed_in_km_per_hr,traffic_condition,no_of_stop,vehicle_age_in_years,engine_norm_type,adjusted_fuel_efficiency_in_km_litre,adjusted_energy_kwh_per_km,total_energy_kwh,fuel_consumption_in_litre,load_factor,c02_emission_kg
Road,Delhivery,bike,electric,50,100.0,44.0,26.0,Low,16,1,Electric,,0.0362,1.81,,0.44,1.48
Road,Delhivery,bike,electric,81,100.0,66.0,31.0,Heavy,12,2,Electric,,0.0405,3.28,,0.66,2.69
Road,Delhivery,bike,electric,87,80.0,41.0,28.0,Moderate,10,5,Electric,,0.0395,3.44,,0.5125,2.82
Road,Delhivery,bike,electric,65,120.0,96.0,36.0,Heavy,10,4,Electric,,0.0415,2.69,,0.8,2.21
Road,Delhivery,bike,electric,69,120.0,60.0,28.0,Heavy,14,2,Electric,,0.0402,2.77,,0.5,2.27
Road,Delhivery,bike,electric,68,120.0,61.0,31.0,Low,5,1,Electric,,0.0363,2.47,,0.5083333333333333,2.03
Road,Delhivery,bike,electric,60,80.0,40.0,33.0,Moderate,11,5,Electric,,0.0395,2.37,,0.5,1.94
Road,Delhivery,bike,electric,56,100.0,70.0,34.0,Low,8,3,Electric,,0.0374,2.1,,0.7,1.72
Road,Delhivery,bike,electric,51,80.0,72.0,38.0,Low,9,2,Electric,,0.0375,1.91,,0.9,1.57
Road,Delhivery,bike,electric,58,120.0,56.0,27.0,Heavy,8,5,Electric,,0.0412,2.39,,0.4666666666666667,1.96
Road,Delhivery,bike,electric,73,80.0,64.0,25.0,Moderate,12,3,Electric,,0.0394,2.87,,0.8,2.36
Road,Delhivery,bike,electric,74,100.0,30.0,38.0,Moderate,6,5,Electric,,0.0391,2.9,,0.3,2.37
Road,Delhivery,bike,electric,110,120.0,51.0,25.0,Low,18,4,Electric,,0.0372,4.1,,0.425,3.36
Road,Delhivery,bike,electric,116,120.0,82.0,25.0,Heavy,7,5,Electric,,0.0416,4.82,,0.6833333333333333,3.96
Road,Delhivery,bike,electric,71,120.0,54.0,30.0,Moderate,17,2,Electric,,0.0383,2.72,,0.45,2.23
Road,Delhivery,bike,electric,34,56.0,89.0,26.0,Low,18,0,Electric,,9.0,2.07,,1.5892857142857142,1.7
Road,Delhivery,bike,electric,113,120.0,98.0,36.0,Low,7,3,Electric,,0.0376,4.25,,0.8166666666666667,3.49
Road,Delhivery,bike,electric,113,120.0,82.0,25.0,Moderate,17,5,Electric,,0.0398,4.5,,0.6833333333333333,3.69
Road,Delhivery,bike,electric,55,80.0,41.0,34.0,Low,4,18,Electric,,0.0374,2.06,,0.5125,1.69
Road,Delhivery,bike,electric,95,80.0,70.0,27.0,Low,4,14,Electric,,0.0381,3.62,,0.875,2.97
Road,Delhivery,bike,electric,81,80.0,64.0,27.0,Moderate,1,10,Electric,,0.0387,3.13,,0.8,2.57
Road,Delhivery,bike,electric,103,120.0,86.0,32.0,Moderate,1,15,Electric,,0.0385,3.97,,0.7166666666666667,3.25
Road,Delhivery,bike,electric,72,120.0,45.0,35.0,Moderate,1,19,Electric,,0.0378,2.72,,0.375,2.23
Road,Delhivery,bike,electric,82,80.0,30.0,30.0,Heavy,1,12,Electric,,0.0396,3.25,,0.375,2.66
Road,Delhivery,bike,electric,75,120.0,94.0,33.0,Low,1,9,Electric,,0.0369,2.77,,0.7833333333333333,2.27
Road,Delhivery,bike,electric,23,45.0,56.0,28.0,Low,5,80,Electric,,3.4,4.04,,1.2444444444444445,3.31
Road,Delhivery,bike,electric,64,100.0,53.0,26.0,Heavy,5,11,Electric,,0.0413,2.64,,0.53,2.17
Road,Delhivery,bike,electric,74,120.0,46.0,38.0,Low,1,13,Electric,,0.0361,2.67,,0.38333333333333336,2.19
Road,Ecom Express,bike,petrol,52,85.0,17.0,42.0,Moderate,12,2,BS-IV,47.8,,,1.09,0.2,2.5
Road,Ecom Express,bike,petrol,95,110.0,88.0,35.0,Heavy,18,4,BS-III,35.2,,,2.7,0.8,6.48
Road,Ecom Express,bike,petrol,68,100.0,50.0,40.0,Low,8,1,BS-VI,48.6,,,1.4,0.5,2.94
Road,Ecom Express,bike,petrol,47,120.0,84.0,30.0,Moderate,15,3,BS-IV,37.0,,,1.27,0.7,2.92
Road,Ecom Express,bike,petrol,120,130.0,26.0,45.0,Heavy,20,5,BS-III,31.5,,,3.81,0.2,9.14
Road,Ecom Express,bike,petrol,40,95.0,47.5,38.0,Low,6,0,BS-VI,49.2,,,0.81,0.5,1.7
Road,Ecom Express,bike,petrol,78,90.0,72.0,36.0,Heavy,14,4,BS-IV,36.3,,,2.15,0.8,4.95
Road,Ecom Express,bike,petrol,63,105.0,21.0,41.0,Moderate,10,3,BS-VI,45.0,,,1.4,0.2,2.94
Road,Ecom Express,bike,petrol,88,115.0,57.5,33.0,Heavy,17,2,BS-IV,38.0,,,2.32,0.5,5.34
Road,Ecom Express,bike,petrol,110,125.0,100.0,43.0,Low,9,1,BS-III,42.0,,,2.62,0.8,6.29
Road,Ecom Express,bike,petrol,119,62.0,31.0,28.0,Heavy,21,10,BS-IV,38.61,,,3.08,0.5,7.08
Road,Ecom Express,bike,petrol,71,114.0,102.6,34.0,Moderate,23,8,BS-VI,41.0,,,1.73,0.9,3.63
Road,Ecom Express,bike,petrol,130,79.0,39.5,38.0,Low,16,5,BS-III,46.11,,,2.82,0.5,6.77
Road,Ecom Express,bike,petrol,129,84.0,75.6,31.0,Moderate,20,4,BS-IV,43.0,,,3.0,0.9,6.9
Road,Ecom Express,bike,petrol,45,145.0,23.0,56.0,Moderate,19,5,BS-III,90.0,,,3.08,0.2,7.39
Road,Ecom Express,bike,petrol,75,85.0,42.5,27.0,Low,17,1,BS-III,48.11,,,1.56,0.5,3.74
Road,Ecom Express,bike,petrol,141,116.0,23.2,31.0,Heavy,10,8,BS-VI,40.44,,,3.49,0.2,7.33
Road,Ecom Express,bike,petrol,94,77.0,38.5,36.0,Heavy,22,6,BS-VI,40.61,,,2.31,0.5,4.85
Road,Ecom Express,bike,petrol,133,70.0,35.0,28.0,Low,13,4,BS-IV,46.61,,,2.85,0.5,6.55
Road,Ecom Express,bike,petrol,97,95.0,47.5,30.0,Moderate,22,3,BS-IV,44.61,,,2.17,0.5,4.99
Road,Ecom Express,bike,petrol,79,115.0,23.0,38.0,Low,22,7,BS-IV,45.94,,,1.72,0.2,3.96
Road,Ecom Express,bike,petrol,122,83.0,74.7,38.0,Moderate,19,2,BS-III,44.0,,,2.77,0.9,6.65
Road,Ecom Express,bike,petrol,102,94.0,84.6,38.0,Moderate,15,5,BS-III,42.5,,,2.4,0.9,5.76
Road,Ecom Express,bike,petrol,121,99.0,19.8,34.0,Moderate,17,1,BS-IV,46.44,,,2.61,0.2,6.0
Road,Ecom Express,bike,petrol,129,63.0,31.5,38.0,Moderate,25,4,BS-III,44.11,,,2.92,0.5,7.01
Road,Ecom Express,bike,petrol,83,107.0,96.3,45.0,Moderate,29,8,BS-VI,41.0,,,2.02,0.9,4.24
Road,Ecom Express,bike,petrol,105,68.0,34.0,35.0,Moderate,15,7,BS-IV,42.61,,,2.46,0.5,5.66
Road,Ecom Express,bike,petrol,34,56.0,88.2,67.0,Heavy,28,9,BS-III,38.0,,,3.47,0.9,8.33
Road,Ecom Express,bike,petrol,76,101.0,90.9,36.0,Low,30,4,BS-III,45.5,,,1.67,0.9,4.01
Road,Ecom Express,bike,petrol,104,73.0,14.6,29.0,Heavy,26,2,BS-IV,43.44,,,2.39,0.2,5.5
Road,Ecom Express,bike,petrol,116,70.0,63.0,38.0,Moderate,12,1,BS-IV,44.5,,,2.61,0.9,6.0
Road,Ecom Express,bike,petrol,83,87.0,43.5,37.0,Heavy,14,5,BS-IV,41.11,,,2.02,0.5,4.65
Road,Ecom Express,bike,petrol,74,112.0,100.8,44.0,Moderate,20,5,BS-III,42.5,,,1.74,0.9,4.18
Road,Ecom Express,bike,petrol,80,82.0,16.4,36.0,Moderate,20,8,BS-VI,42.94,,,1.86,0.2,3.91
Road,Ecom Express,bike,petrol,123,79.0,67.0,78.0,Moderate,19,3,BS-IV,670.0,,,2.76,0.5,6.35
Road,Ecom Express,bike,petrol,45,116.0,104.4,27.0,Moderate,20,2,BS-VI,44.0,,,2.86,0.9,6.01
Road,Ecom Express,bike,petrol,79,91.0,45.5,33.0,Heavy,28,4,BS-VI,41.61,,,1.9,0.5,3.99
Road,Ecom Express,bike,petrol,72,93.0,83.7,43.0,Moderate,26,2,BS-III,44.0,,,1.64,0.9,3.94
Road,Ecom Express,bike,petrol,117,116.0,104.4,26.0,Moderate,22,6,BS-VI,42.0,,,2.79,0.9,5.86
Road,Ecom Express,bike,petrol,70,67.0,13.4,33.0,Moderate,11,10,BS-VI,41.94,,,1.67,0.2,3.51
Road,Ecom Express,bike,electric,76,100.0,59.17,31.7,Moderate,28,2,Electric,,0.0382,2.91,,0.5917,2.38
Road,Ecom Express,bike,electric,73,150.0,76.54,34.55,Heavy,15,1,Electric,,0.0362,2.66,,0.5103,2.18
Road,Ecom Express,bike,electric,62,120.0,91.49,26.48,Low,19,3,Electric,,0.0426,2.68,,0.7624,2.2
Road,Ecom Express,bike,electric,66,120.0,107.11,23.0,Moderate,12,4,Electric,,0.0411,2.73,,0.8926,2.23
Road,Ecom Express,bike,electric,43,150.0,89.0,300.0,Moderate,18,1,Electric,,0.0337,2.09,,0.5066,1.71
Road,Ecom Express,bike,electric,97,150.0,126.24,29.15,Heavy,12,5,Electric,,0.0406,3.97,,0.8416,3.26
Road,Ecom Express,bike,electric,62,120.0,85.51,23.12,Moderate,27,1,Electric,,0.0379,2.38,,0.7126,1.95
Road,Ecom Express,bike,electric,77,120.0,103.64,24.9,Moderate,17,4,Electric,,0.0386,2.99,,0.8636,2.46
Road,Ecom Express,bike,electric,68,100.0,79.34,34.48,Moderate,22,0,Electric,,0.0361,2.49,,0.7934,2.04
Road,Ecom Express,bike,electric,61,100.0,99.34,31.58,Low,20,2,Electric,,0.0399,2.45,,0.9934,2.01
Road,Ecom Express,bike,electric,101,100.0,80.3,33.89,Moderate,16,0,Electric,,0.0397,4.01,,0.803,3.29
Road,Ecom Express,bike,electric,73,150.0,98.32,24.88,Moderate,17,5,Electric,,0.0442,3.23,,0.6555,2.65
Road,Ecom Express,bike,electric,83,100.0,98.59,32.73,Moderate,23,2,Electric,,0.0396,3.29,,0.9859,2.7
Road,Ecom Express,bike,electric,79,120.0,86.36,23.03,Heavy,26,3,Electric,,0.0417,3.33,,0.7197,2.73
Road,Ecom Express,bike,electric,98,100.0,62.46,26.16,Moderate,13,4,Electric,,0.0346,3.42,,0.6246,2.8
Road,Ecom Express,bike,electric,70,120.0,112.83,29.37,Low,30,5,Electric,,0.0381,2.68,,0.9402,2.2
Road,Ecom Express,bike,electric,65,120.0,113.0,24.87,Low,16,5,Electric,,0.0343,2.24,,0.9416,1.84
Road,Ecom Express,bike,electric,34,120.0,78.0,60.0,Moderate,15,2,Electric,,0.0375,2.47,,0.5003,2.03
Road,Ecom Express,bike,electric,65,150.0,95.21,23.66,Low,18,3,Electric,,0.0358,2.35,,0.6347,1.93
Road,Ecom Express,bike,electric,118,120.0,101.78,30.68,Low,26,2,Electric,,0.0385,4.55,,0.8482,3.73
Road,Shadowfax,bike,petrol,160,140.0,36.1,39.04,Heavy,40,5,BS-IV,47.12,,,3.41,0.2579,7.84
Road,Shadowfax,bike,petrol,71,100.0,46.79,24.14,Low,88,1,BS-IV,44.33,,,1.62,0.4679,3.73
Road,Shadowfax,bike,petrol,68,100.0,58.76,38.21,Low,43,3,BS-VI,49.63,,,1.37,0.5876,2.88
Road,Shadowfax,bike,petrol,169,130.0,58.26,32.72,Heavy,65,3,BS-III,42.15,,,4.02,0.4481,9.65
Road,Shadowfax,bike,petrol,76,100.0,28.12,39.44,Low,115,7,BS-IV,49.25,,,1.55,0.2812,3.56
Road,Shadowfax,bike,petrol,147,140.0,45.25,31.49,Heavy,98,6,BS-VI,38.18,,,3.86,0.3232,8.11
Road,Shadowfax,bike,petrol,138,150.0,89.08,32.57,Moderate,118,3,BS-IV,43.94,,,3.15,0.5939,7.24
Road,Shadowfax,bike,petrol,79,140.0,86.77,27.04,Moderate,77,5,BS-III,48.61,,,1.63,0.6198,3.91
Road,Shadowfax,bike,petrol,125,150.0,116.99,32.15,Low,40,5,BS-VI,58.44,,,2.15,0.7799,4.51
Road,Shadowfax,bike,petrol,124,140.0,107.52,32.28,Heavy,89,5,BS-VI,40.31,,,3.09,0.768,6.49
Road,Shadowfax,bike,petrol,167,140.0,30.4,29.34,Low,66,3,BS-III,47.2,,,3.55,0.2172,8.52
Road,Shadowfax,bike,petrol,128,150.0,76.56,35.76,Moderate,105,0,BS-III,52.2,,,2.47,0.5104,5.93
Road,Shadowfax,bike,petrol,173,110.0,94.03,37.43,Low,80,4,BS-VI,57.62,,,3.02,0.8548,6.34
Road,Shadowfax,bike,petrol,98,110.0,78.21,28.54,Moderate,69,9,BS-IV,49.92,,,1.97,0.711,4.53
Road,Shadowfax,bike,petrol,78,100.0,85.2,34.03,Moderate,115,8,BS-III,37.18,,,2.11,0.852,5.06
Road,Shadowfax,bike,petrol,168,120.0,84.98,28.43,Heavy,100,5,BS-IV,51.94,,,3.24,0.7082,7.45
Road,Shadowfax,bike,petrol,500,110.0,23.0,33.11,Heavy,119,6,BS-IV,42.17,,,2.87,0.4153,6.6
Road,Shadowfax,bike,petrol,175,150.0,130.87,38.3,Low,72,1,BS-IV,46.73,,,3.76,0.8725,8.65
Road,Shadowfax,bike,petrol,81,110.0,60.15,31.25,Low,53,2,BS-IV,49.39,,,1.66,0.5468,3.82
Road,Shadowfax,bike,electric,77,110.0,56.82,23.18,Moderate,13,4,Electric,,0.039,3.03,,0.5165,2.49
Road,Shadowfax,bike,electric,109,130.0,108.69,29.42,Low,17,4,Electric,,0.0395,4.3,,0.8361,3.53
Road,Shadowfax,bike,electric,300,130.0,34.0,29.98,Low,17,4,Electric,,0.0421,3.63,,0.9082,2.97
Road,Shadowfax,bike,electric,66,130.0,111.22,30.14,Moderate,18,3,Electric,,0.0444,2.94,,0.8556,2.41
Road,Shadowfax,bike,electric,70,130.0,125.89,20.06,Moderate,29,5,Electric,,0.0426,3.02,,0.9684,2.48
Road,Shadowfax,bike,electric,59,110.0,109.02,25.75,Moderate,12,5,Electric,,0.045,2.69,,0.9911,2.21
Road,Shadowfax,bike,electric,103,130.0,77.27,22.18,Moderate,27,2,Electric,,0.0425,4.4,,0.5944,3.61
Road,Shadowfax,bike,electric,71,90.0,73.89,19.26,Low,17,3,Electric,,0.0385,2.75,,0.821,2.25
Road,Shadowfax,bike,electric,69,90.0,74.86,18.08,Low,29,1,Electric,,0.039,2.7,,0.8318,2.21
Road,Shadowfax,bike,electric,87,90.0,52.92,18.27,Moderate,27,3,Electric,,0.0375,3.27,,0.588,2.68
Road,Shadowfax,bike,electric,93,130.0,107.74,26.52,Low,30,5,Electric,,0.0358,3.34,,0.8288,2.74
Road,Shadowfax,bike,electric,60,110.0,108.84,25.3,Heavy,13,4,Electric,,0.0419,2.55,,0.9894,2.09
Road,Shadowfax,bike,electric,82,90.0,53.79,28.84,Moderate,14,0,Electric,,0.033,2.72,,0.5976,2.23
Road,Shadowfax,bike,electric,109,110.0,107.47,31.72,Moderate,20,4,Electric,,0.045,4.93,,0.977,4.04
Road,Shadowfax,bike,electric,72,90.0,70.75,32.7,Low,32,0,Electric,,0.0346,2.52,,0.7861,2.07
Road,Shadowfax,bike,electric,56,90.0,62.76,30.66,Heavy,25,1,Electric,,0.0415,2.33,,0.6973,1.91
Road,Xpressbees,bike,petrol,159,140.0,33.88,38.73,Low,115,9,BS-IV,53.93,,,2.95,0.242,6.79
Road,Xpressbees,bike,petrol,132,110.0,74.24,25.47,Low,91,8,BS-VI,47.36,,,2.81,0.6749,5.9
Road,Xpressbees,bike,petrol,139,120.0,71.19,25.57,Moderate,98,10,BS-VI,53.03,,,2.64,0.5932,5.54
Road,Xpressbees,bike,petrol,150,100.0,45.03,35.35,Heavy,114,7,BS-VI,38.63,,,3.9,0.4503,8.19
Road,Xpressbees,bike,petrol,159,150.0,96.13,36.86,Moderate,84,6,BS-III,54.54,,,2.92,0.6408,7.01
Road,Xpressbees,bike,petrol,13,120.0,31.41,38.55,Heavy,94,7,BS-VI,42.73,,,2.5,0.2618,3.53
Road,Xpressbees,bike,petrol,100,100.0,37.74,28.6,Heavy,43,2,BS-VI,50.65,,,1.98,0.3774,4.16
Road,Xpressbees,bike,petrol,90,120.0,33.45,24.24,Moderate,40,9,BS-IV,43.02,,,2.11,0.2788,4.85
Road,Xpressbees,bike,petrol,140,120.0,27.83,39.42,Moderate,78,10,BS-IV,38.3,,,3.66,0.2319,8.42
Road,Xpressbees,bike,petrol,179,150.0,69.14,27.96,Moderate,57,2,BS-III,51.78,,,3.46,0.461,8.3
Road,Xpressbees,bike,petrol,139,110.0,42.41,37.94,Moderate,63,3,BS-III,51.43,,,2.7,0.3855,6.48
Road,Xpressbees,bike,petrol,169,100.0,49.05,24.65,Heavy,75,4,BS-III,38.43,,,4.41,0.4905,10.58
Road,Xpressbees,bike,petrol,105,140.0,82.28,33.3,Low,66,0,BS-VI,60.98,,,1.72,0.5877,3.61
Road,Xpressbees,bike,petrol,118,100.0,42.54,29.04,Low,78,2,BS-III,46.94,,,2.53,0.4254,6.07
Road,Xpressbees,bike,petrol,158,110.0,42.61,33.37,Low,49,2,BS-VI,43.31,,,3.66,0.3874,7.69
Road,Xpressbees,bike,petrol,151,110.0,33.84,33.13,Low,52,8,BS-III,44.31,,,3.42,0.3077,8.21
Road,Xpressbees,bike,petrol,78,150.0,132.56,24.01,Moderate,66,10,BS-IV,38.05,,,2.06,0.8837,4.74
Road,Xpressbees,bike,petrol,119,140.0,98.39,25.01,Heavy,64,9,BS-III,39.39,,,3.04,0.7028,7.3
Road,Xpressbees,bike,petrol,178,110.0,45.58,33.5,Heavy,99,5,BS-IV,37.77,,,4.71,0.4144,10.83
Road,Xpressbees,bike,petrol,172,110.0,73.37,33.45,Low,83,4,BS-VI,44.08,,,3.91,0.667,8.21
Road,Xpressbees,bike,petrol,117,150.0,86.47,29.45,Heavy,54,6,BS-IV,43.64,,,2.68,0.5765,6.16
Road,Xpressbees,bike,petrol,169,100.0,44.48,37.07,Heavy,114,5,BS-III,46.9,,,3.62,0.4448,8.69
Road,Xpressbees,bike,petrol,69,150.0,30.95,37.66,Moderate,77,5,BS-III,57.18,,,1.22,0.2064,2.93
Road,Xpressbees,bike,petrol,171,130.0,72.98,23.28,Heavy,67,9,BS-III,40.32,,,4.25,0.5614,10.2
Road,Xpressbees,bike,petrol,122,110.0,62.98,37.97,Heavy,82,8,BS-IV,38.54,,,3.17,0.5725,7.29
Road,Xpressbees,bike,petrol,173,150.0,42.59,34.76,Heavy,46,8,BS-IV,50.15,,,3.45,0.2839,7.93
Road,Xpressbees,bike,petrol,77,150.0,115.28,38.58,Moderate,63,8,BS-IV,50.96,,,1.52,0.7685,3.5
Road,Xpressbees,bike,petrol,93,130.0,70.12,35.61,Low,61,3,BS-VI,58.9,,,1.59,0.5393,3.34
Road,Xpressbees,bike,petrol,64,150.0,36.18,34.84,Heavy,79,2,BS-III,40.72,,,1.59,0.2412,3.82
Road,Xpressbees,bike,petrol,117,130.0,79.97,24.27,Moderate,77,2,BS-IV,45.11,,,2.6,0.6152,5.98
Road,Xpressbees,bike,electric,72,125.0,115.02,27.04,Low,15,4,Electric,,0.0357,2.59,,0.9202,2.12
Road,Xpressbees,bike,electric,122,140.0,82.38,22.72,Moderate,29,2,Electric,,0.0401,4.92,,0.5884,4.03
Road,Xpressbees,bike,electric,105,100.0,98.63,32.0,Low,38,2,Electric,,0.037,3.91,,0.9863,3.21
Road,Xpressbees,bike,electric,60,100.0,63.3,23.13,Moderate,26,4,Electric,,0.0344,2.08,,0.633,1.71
Road,Xpressbees,bike,electric,119,140.0,92.77,29.69,Moderate,22,4,Electric,,0.037,4.4,,0.6626,3.61
Road,Xpressbees,bike,electric,121,140.0,118.4,28.1,Moderate,17,3,Electric,,0.0402,4.9,,0.8457,4.02
Road,Xpressbees,bike,electric,66,125.0,69.56,23.63,Low,31,5,Electric,,0.0417,2.75,,0.5565,2.26
Road,Xpressbees,bike,electric,104,125.0,111.69,33.3,Moderate,19,1,Electric,,0.0401,4.18,,0.8935,3.43
Road,Xpressbees,bike,electric,99,125.0,83.43,22.21,Heavy,15,4,Electric,,0.0434,4.31,,0.6674,3.54
Road,Xpressbees,bike,electric,98,140.0,136.49,34.14,Moderate,34,3,Electric,,0.0384,3.77,,0.9749,3.09
Road,Xpressbees,bike,electric,100,100.0,91.5,33.49,Moderate,15,0,Electric,,0.0402,4.02,,0.915,3.3
Road,Xpressbees,bike,electric,69,100.0,58.12,23.41,Low,33,1,Electric,,0.0384,2.67,,0.5812,2.19
Road,Xpressbees,bike,electric,59,100.0,93.02,22.33,Heavy,23,3,Electric,,0.0436,2.62,,0.9302,2.15
